date,covid_cases
0,72
1,60
2,47
3,90
4,77
5,79
6,94
7,90
8,94
9,89
10,104
11,115
12,156
13,144
14,155
15,131
16,107
17,151
18,149
19,157
20,172
21,207
22,164
23,174
24,233
25,237
26,283
27,202
28,286
29,229
30,133
31,228
32,167
33,196
34,158
35,170
36,152
37,129
38,187
39,190
40,178
41,175
42,186
43,138
44,92
45,148
46,136
47,116
48,143
49,150
50,138
51,130
52,183
53,142
54,142
55,162
56,195
57,173
58,137
59,146
60,187
61,145
62,170
63,131
64,117
65,124
66,166
67,161
68,157
69,104
70,124
71,90
72,74
73,178
74,105
75,88
76,110
77,87
78,66
79,85
80,92
81,65
82,69
83,86
84,58
85,41
86,59
87,69
88,50
89,66
90,66
91,55
92,48
93,39
94,59
95,59
96,56
97,43
98,39
99,39
100,41
101,65
102,48
103,30
104,28
105,37
106,26
107,22
108,67
109,38
110,45
111,24
112,29
113,26
114,19
115,44
116,30
117,35
118,22
119,16
120,18
121,16
122,27
123,25
124,15
125,18
126,20
127,18
128,16
129,10
130,17
131,21
132,12
133,12
134,5
135,16
136,23
137,20
138,20
139,14
140,19
141,13
142,16
143,23
144,20
145,21
146,23
147,15
148,19
149,23
150,29
151,27
152,22
153,23
154,31
155,39
156,37
157,33
158,46
159,35
160,35
161,38
162,31
163,39
164,47
165,50
166,66
167,59
168,56
169,58
170,55
171,71
172,84
173,99
174,97
175,105
176,102
177,114
178,162
179,179
180,167
181,166
182,160
183,172
184,188
185,252
186,261
187,253
188,293
189,270
190,241
191,244
192,327
193,309
194,281
195,231
196,229
197,212
198,191
199,264
200,239
201,259
202,240
203,267
204,265
205,234
206,233
207,274
208,295
209,283
210,279
211,265
212,262
213,371
214,321
215,306
216,346
217,323
218,265
219,262
220,356
221,304
222,342
223,284
224,312
225,309
226,302
227,519
228,507
229,496
230,502
231,491
232,434
233,378
234,535
235,477
236,477
237,423
238,481
239,412
240,408
241,510
242,540
243,511
244,507
245,514
246,466
247,425
248,643
249,545
250,601
251,559
252,561
253,528
254,490
255,598
256,617
257,594
258,610
259,605
260,552
261,517
262,664
263,636
264,614
265,587
266,666
267,652
268,566
269,759
270,638
271,715
272,616
273,611
274,618
275,593
276,767
277,691
278,729
279,843
280,681
281,914
282,753
283,927
284,886
285,855
286,858
287,960
288,939
289,912
290,1096
291,936
292,927
293,801
294,867
295,776
296,698
297,834
298,734
299,814
300,819
301,805
302,693
303,640
304,749
305,658
306,579
307,630
308,637
309,535
310,459
311,548
312,546
313,524
314,530
315,498
316,438
317,366
318,500
319,414
320,413
321,383
322,391
323,340
324,312
325,396
326,382
327,364
328,325
329,364
330,293
331,256
332,330
333,347
334,369
335,334
336,335
337,326
338,237
339,359
340,322
341,325
342,291
343,290
344,300
345,257
346,421
347,374
348,359
349,373
350,417
351,340
352,362
353,432
354,423
355,510
356,430
357,465
358,410
359,366
360,569
361,539
362,598
363,565
364,653
365,614
366,632
367,748
368,811
369,817
370,710
371,851
372,770
373,745
374,920
375,878
376,847
377,1154
378,975
379,1006
380,1042
381,1304
382,1392
383,1342
384,1287
385,1288
386,1204
387,1134
388,1229
389,1211
390,1310
391,1239
392,1200
393,1119
394,1064
395,1335
396,1160
397,1177
398,1030
399,1123
400,1016
401,881
402,1101
403,1031
404,1093
405,1016
406,988
407,964
408,761
409,946
410,813
411,790
412,697
413,697
414,642
415,579
416,683
417,600
418,603
419,521
420,543
421,468
422,384
423,480
424,487
425,398
426,340
427,341
428,264
429,224
430,245
431,260
432,232
433,203
434,200
435,140
436,122
437,167
438,172
439,123
440,122
441,102
442,99
443,74
444,92
445,84
446,65
447,65
448,66
449,67
450,51
451,57
452,60
453,51
454,32
455,44
456,53
457,36
458,54
459,42
460,41
461,39
462,25
463,18
464,33
465,31
466,25
467,26
468,15
469,23
470,26
471,21
472,25
473,20
474,18
475,23
476,21
477,18
478,19
479,32
480,28
481,21
482,25
483,27
484,30
485,26
486,37
487,45
488,28
489,28
490,47
491,26
492,35
493,50
494,40
495,66
496,44
497,42
498,58
499,63
500,76
501,97
502,97
503,106
504,99
505,111
506,106
507,141
508,125
509,128
510,126
511,103
512,119
513,124
514,157
515,164
516,131
517,133
518,136
519,142
520,122
521,183
522,161
523,155
524,141
525,154
526,138
527,144
528,151
529,141
530,146
531,145
532,132
533,133
534,140
535,128
536,171
537,148
538,177
539,135
540,123
541,125
542,176
543,136
544,145
545,123
546,143
547,94
548,96
549,111
550,142
551,127
552,101
553,113
554,96
555,104
556,106
557,110
558,113
559,89
560,105
561,111
562,80
563,101
564,115
565,102
566,92
567,90
568,82
569,59
570,62
571,71
572,74
573,48
574,49
575,44
576,38
577,54
578,56
579,50
580,51
581,40
582,44
583,43
584,65
585,64
586,45
587,59
588,53
589,53
590,31
591,67
592,78
593,66
594,66
595,77
596,53
597,51
598,90
599,77
600,74
601,75
602,81
603,59
604,62
605,92
606,94
607,103
608,88
609,95
610,79
611,90
612,135
613,112
614,110
615,98
616,112
617,100
618,93
619,139
620,134
621,145
622,149
623,157
624,142
625,139
626,180
627,152
628,178
629,147
630,126
631,91
632,1
